"","id","plate","box","block","temp","nominal_conc","detected_conc","temp_conc","TTKD","status","pesticide"
"1",1,1,"18C_1",1,18,0,0,"18_0",12,1,"azoxystrobin"
"2",2,1,"18C_1",1,18,0,0,"18_0",14,1,"azoxystrobin"
"3",3,1,"18C_1",1,18,0,0,"18_0",22,1,"azoxystrobin"
"4",4,1,"18C_1",1,18,0,0,"18_0",22,1,"azoxystrobin"
"5",5,1,"18C_1",1,18,0,0,"18_0",24,1,"azoxystrobin"
"6",6,2,"18C_2",2,18,0,0,"18_0",24,1,"azoxystrobin"
"7",7,2,"18C_2",2,18,0,0,"18_0",24,1,"azoxystrobin"
"8",8,2,"18C_2",2,18,0,0,"18_0",24,1,"azoxystrobin"
"9",9,2,"18C_2",2,18,0,0,"18_0",26,1,"azoxystrobin"
"10",10,2,"18C_2",2,18,0,0,"18_0",28,1,"azoxystrobin"
"11",11,3,"18C_3",3,18,0,0,"18_0",20,1,"azoxystrobin"
"12",12,3,"18C_3",3,18,0,0,"18_0",20,1,"azoxystrobin"
"13",13,3,"18C_3",3,18,0,0,"18_0",20,1,"azoxystrobin"
"14",14,3,"18C_3",3,18,0,0,"18_0",22,1,"azoxystrobin"
"15",15,3,"18C_3",3,18,0,0,"18_0",24,1,"azoxystrobin"
"16",16,4,"18C_4",2,18,0,0,"18_0",10,1,"azoxystrobin"
"17",17,4,"18C_4",2,18,0,0,"18_0",24,1,"azoxystrobin"
"18",18,4,"18C_4",2,18,0,0,"18_0",26,1,"azoxystrobin"
"19",19,4,"18C_4",2,18,0,0,"18_0",26,1,"azoxystrobin"
"20",20,4,"18C_4",2,18,0,0,"18_0",28,1,"azoxystrobin"
"21",21,5,"24C_1",1,24,0,0,"24_0",10,1,"azoxystrobin"
"22",22,5,"24C_1",1,24,0,0,"24_0",16,1,"azoxystrobin"
"23",23,5,"24C_1",1,24,0,0,"24_0",16,1,"azoxystrobin"
"24",24,5,"24C_1",1,24,0,0,"24_0",16,1,"azoxystrobin"
"25",25,5,"24C_1",1,24,0,0,"24_0",16,1,"azoxystrobin"
"26",26,6,"24C_2",2,24,0,0,"24_0",14,1,"azoxystrobin"
"27",27,6,"24C_2",2,24,0,0,"24_0",16,1,"azoxystrobin"
"28",28,6,"24C_2",2,24,0,0,"24_0",18,1,"azoxystrobin"
"29",29,6,"24C_2",2,24,0,0,"24_0",18,1,"azoxystrobin"
"30",30,6,"24C_2",2,24,0,0,"24_0",18,1,"azoxystrobin"
"31",31,7,"24C_3",3,24,0,0,"24_0",14,1,"azoxystrobin"
"32",32,7,"24C_3",3,24,0,0,"24_0",14,1,"azoxystrobin"
"33",33,7,"24C_3",3,24,0,0,"24_0",14,1,"azoxystrobin"
"34",34,7,"24C_3",3,24,0,0,"24_0",14,1,"azoxystrobin"
"35",35,7,"24C_3",3,24,0,0,"24_0",16,1,"azoxystrobin"
"36",36,8,"24C_4",3,24,0,0,"24_0",12,1,"azoxystrobin"
"37",37,8,"24C_4",3,24,0,0,"24_0",14,1,"azoxystrobin"
"38",38,8,"24C_4",3,24,0,0,"24_0",16,1,"azoxystrobin"
"39",39,8,"24C_4",3,24,0,0,"24_0",16,1,"azoxystrobin"
"40",40,8,"24C_4",3,24,0,0,"24_0",18,1,"azoxystrobin"
"41",41,9,"30C_1",1,30,0,0,"30_0",12,1,"azoxystrobin"
"42",42,9,"30C_1",1,30,0,0,"30_0",12,1,"azoxystrobin"
"43",43,9,"30C_1",1,30,0,0,"30_0",12,1,"azoxystrobin"
